scenario,position,attribute,attr1,attr2,attr3,attr4,attr5
shuffleboard_table,3,surface_flatness,0.0,0.0,-8.0,0.0,0.0
shuffleboard_table,4,wood_hardness,0.0,0.0,0.0,0.0,79.0
shuffleboard_table,5,puck_smoothness,0.0,0.0,0.0,79.0,0.0
reusable_bag,1,load_capacity,0.0,0.0,52.0,0.0,0.0
reusable_bag,2,folded_volume,0.0,48.0,0.0,0.0,0.0
reusable_bag,3,strap_length,52.0,0.0,0.0,0.0,0.0
reusable_bag,4,washability,0.0,0.0,0.0,8.0,0.0
reusable_bag,5,water_resistance,0.0,0.0,0.0,0.0,-50.0
luggage_tag,1,durability_rating,35.0,0.0,0.0,0.0,0.0
luggage_tag,2,visibility_distance,0.0,0.0,-67.0,0.0,0.0
luggage_tag,3,information_capacity,0.0,-67.0,0.0,0.0,0.0
luggage_tag,4,water_resistance,0.0,0.0,0.0,-50.0,0.0
luggage_tag,5,attachment_strength,0.0,0.0,0.0,0.0,-50.0
inversion_table,1,max_inversion_angle,-46.0,0.0,0.0,0.0,0.0
inversion_table,2,height_capacity,0.0,14.0,0.0,0.0,0.0
inversion_table,3,ankle_cushioning_thickness,0.0,0.0,0.0,0.0,-92.0
inversion_table,4,frame_thickness,0.0,0.0,0.0,-50.0,0.0
inversion_table,5,backrest_padding_thickness,0.0,0.0,-92.0,0.0,0.0
shower_curtain,1,pattern_coverage,0.0,74.0,0.0,0.0,0.0
shower_curtain,2,transparency,74.0,0.0,0.0,0.0,0.0
shower_curtain,3,curtain_width,0.0,0.0,-10.0,0.0,0.0
shower_curtain,4,curtain_height,0.0,0.0,0.0,-39.0,0.0
shower_curtain,5,weight,0.0,0.0,0.0,0.0,-6.0
milk_storage_bags,1,storage_capacity,0.0,0.0,0.0,0.0,51.0
milk_storage_bags,2,leak_resistance_rating,0.0,50.0,0.0,0.0,0.0
milk_storage_bags,3,freezer_life,0.0,0.0,-41.0,0.0,0.0
milk_storage_bags,4,material_thickness,0.0,0.0,0.0,-42.0,0.0
milk_storage_bags,5,pour_spout_width,51.0,0.0,0.0,0.0,0.0
nail_file,1,grit_level,-30.0,0.0,0.0,0.0,0.0
nail_file,2,file_length,0.0,-11.0,0.0,0.0,0.0
nail_file,3,thickness,0.0,0.0,0.0,0.0,84.0
nail_file,4,flexibility_rating,0.0,0.0,0.0,50.0,0.0
nail_file,5,durability_score,0.0,0.0,84.0,0.0,0.0
pasta_maker,1,max_sheet_width,35.0,0.0,0.0,0.0,0.0
pasta_maker,2,number_thickness_settings,0.0,50.0,0.0,0.0,0.0
pasta_maker,3,number_cutting_attachments,0.0,0.0,0.0,0.0,-75.0
pasta_maker,4,warranty_length,0.0,0.0,0.0,20.0,0.0
pasta_maker,5,weight,0.0,0.0,-75.0,0.0,0.0
washing_machine,1,capacity,0.0,0.0,0.0,-53.0,0.0
washing_machine,2,spin_speed,0.0,50.0,0.0,0.0,0.0
washing_machine,3,energy_efficiency,0.0,0.0,26.0,0.0,0.0
washing_machine,4,noise_level,-53.0,0.0,0.0,0.0,0.0
washing_machine,5,cycle_duration,0.0,0.0,0.0,0.0,39.0
easel,1,max_canvas_height,-22.0,0.0,0.0,0.0,0.0
easel,2,tray_capacity,0.0,0.0,0.0,0.0,58.0
easel,3,height_adjustment_range,0.0,0.0,-22.0,0.0,0.0
easel,4,storage_slots,0.0,0.0,0.0,50.0,0.0
easel,5,tilt_angle_range,0.0,58.0,0.0,0.0,0.0
salmon,1,color_intensity,-50.0,0.0,0.0,0.0,0.0
salmon,2,fat_content,0.0,38.0,0.0,0.0,0.0
salmon,3,freshness_rating,0.0,0.0,-47.0,0.0,0.0
salmon,4,portion_size,0.0,0.0,0.0,0.0,60.0
salmon,5,wild_caught_certainty,0.0,0.0,0.0,60.0,0.0
magnetic_calendar,1,surface_area,0.0,0.0,0.0,0.0,56.0
magnetic_calendar,2,magnetic_strength,0.0,40.0,0.0,0.0,0.0
magnetic_calendar,3,writing_space_per_day,0.0,0.0,30.0,0.0,0.0
magnetic_calendar,4,included_magnets,0.0,0.0,0.0,14.0,0.0
magnetic_calendar,5,additional_note_space,56.0,0.0,0.0,0.0,0.0
ham,1,curing_time,-37.0,0.0,0.0,0.0,0.0
ham,2,smoke_intensity,0.0,0.0,0.0,0.0,82.0
ham,3,salt_content,0.0,0.0,-8.0,0.0,0.0
ham,4,moisture_content,0.0,0.0,0.0,-38.0,0.0
ham,5,protein_content,0.0,82.0,0.0,0.0,0.0
snow_blower,1,clearing_width,0.0,0.0,0.0,0.0,86.0
snow_blower,2,throwing_distance,0.0,-18.0,0.0,0.0,0.0
snow_blower,3,intake_height,0.0,0.0,38.0,0.0,0.0
snow_blower,4,runtime,0.0,0.0,0.0,42.0,0.0
snow_blower,5,noise_level,86.0,0.0,0.0,0.0,0.0
ecg_monitor,1,battery_life,42.0,0.0,0.0,0.0,0.0
ecg_monitor,2,recording_duration,0.0,-24.0,0.0,0.0,0.0
ecg_monitor,3,data_transfer_speed,0.0,0.0,0.0,0.0,93.0
ecg_monitor,4,display_resolution,0.0,0.0,0.0,26.0,0.0
ecg_monitor,5,storage_capacity,0.0,0.0,93.0,0.0,0.0
dslr_camera,1,sensor_resolution,0.0,0.0,0.0,-60.0,0.0
dslr_camera,2,continuous_shooting_speed,0.0,29.0,0.0,0.0,0.0
dslr_camera,3,battery_life,0.0,0.0,4.0,0.0,0.0
dslr_camera,4,max_iso,-60.0,0.0,0.0,0.0,0.0
dslr_camera,5,weight,0.0,0.0,0.0,0.0,-50.0
convertible,1,top_operation_time,50.0,0.0,0.0,0.0,0.0
convertible,2,acceleration,0.0,0.0,0.0,71.0,0.0
convertible,3,trunk_space_top_down,0.0,0.0,32.0,0.0,0.0
convertible,4,wind_noise,0.0,71.0,0.0,0.0,0.0
convertible,5,rollover_protection,0.0,0.0,0.0,0.0,42.0
washi_tape,1,tape_width,-44.0,0.0,0.0,0.0,0.0
washi_tape,2,adhesive_strength,0.0,-30.0,0.0,0.0,0.0
washi_tape,3,roll_length,0.0,0.0,0.0,-87.0,0.0
washi_tape,4,pattern_repeat_length,0.0,0.0,-87.0,0.0,0.0
washi_tape,5,opacity_percentage,0.0,0.0,0.0,0.0,24.0
dry_bag,1,capacity,0.0,0.0,0.0,-71.0,0.0
dry_bag,2,waterproof_rating,0.0,-43.0,0.0,0.0,0.0
dry_bag,3,weight,0.0,0.0,-50.0,0.0,0.0
dry_bag,4,compression_ratio,-71.0,0.0,0.0,0.0,0.0
dry_bag,5,strap_length,0.0,0.0,0.0,0.0,40.0
hair_dryer,1,power_output,-45.0,0.0,0.0,0.0,0.0
hair_dryer,2,cord_length,0.0,10.0,0.0,0.0,0.0
hair_dryer,3,weight,0.0,0.0,50.0,0.0,0.0
hair_dryer,4,noise_level,0.0,0.0,0.0,0.0,-67.0
hair_dryer,5,heat_settings,0.0,0.0,0.0,-67.0,0.0
balance_board,1,platform_diameter,0.0,0.0,-68.0,0.0,0.0
balance_board,2,max_tilt_angle,0.0,-26.0,0.0,0.0,0.0
balance_board,3,grip_surface_area,-68.0,0.0,0.0,0.0,0.0
balance_board,4,weight_capacity,0.0,0.0,0.0,-48.0,0.0
balance_board,5,platform_thickness,0.0,0.0,0.0,0.0,50.0
hoodie,1,fabric_weight,0.0,-65.0,0.0,0.0,0.0
hoodie,2,cotton_percentage,-65.0,0.0,0.0,0.0,0.0
hoodie,3,pocket_size,0.0,0.0,-42.0,0.0,0.0
hoodie,4,sleeve_length,0.0,0.0,0.0,-40.0,0.0
hoodie,5,hood_size,0.0,0.0,0.0,0.0,40.0
loan,1,interest_rate,0.0,0.0,0.0,-77.0,0.0
loan,2,loan_term,0.0,13.0,0.0,0.0,0.0
loan,3,funding_speed,0.0,0.0,-50.0,0.0,0.0
loan,4,payment_flexibility,-77.0,0.0,0.0,0.0,0.0
loan,5,early_payoff_penalty,0.0,0.0,0.0,0.0,27.0
mold_test,1,types_detected,44.0,0.0,0.0,0.0,0.0
mold_test,2,lab_processing_time,0.0,0.0,70.0,0.0,0.0
mold_test,3,sample_area_coverage,0.0,70.0,0.0,0.0,0.0
mold_test,4,detection_sensitivity,0.0,0.0,0.0,44.0,0.0
mold_test,5,number_of_samples,0.0,0.0,0.0,0.0,-22.0
boxing_gloves,1,padding_density,-41.0,0.0,0.0,0.0,0.0
boxing_gloves,2,wrist_support_length,0.0,0.0,78.0,0.0,0.0
boxing_gloves,3,ventilation_rating,0.0,78.0,0.0,0.0,0.0
boxing_gloves,4,impact_absorption,0.0,0.0,0.0,-50.0,0.0
boxing_gloves,5,flexibility_rating,0.0,0.0,0.0,0.0,50.0
citrus_juicer,1,juice_yield,-12.0,0.0,0.0,0.0,0.0
citrus_juicer,2,pulp_filtration,0.0,-12.0,0.0,0.0,0.0
citrus_juicer,3,max_fruit_diameter,0.0,0.0,0.0,-66.0,0.0
citrus_juicer,4,stability_rating,0.0,0.0,-66.0,0.0,0.0
citrus_juicer,5,ease_of_cleaning,0.0,0.0,0.0,0.0,12.0
stopwatch,1,display_size,-30.0,0.0,0.0,0.0,0.0
stopwatch,2,memory_capacity,0.0,0.0,0.0,61.0,0.0
stopwatch,3,battery_life,0.0,0.0,50.0,0.0,0.0
stopwatch,4,water_resistance,0.0,61.0,0.0,0.0,0.0
stopwatch,5,weight,0.0,0.0,0.0,0.0,20.0
fins,1,blade_length,5.0,0.0,0.0,0.0,0.0
fins,2,thrust_power,0.0,-23.0,0.0,0.0,0.0
fins,3,flexibility_rating,0.0,0.0,0.0,-91.0,0.0
fins,4,energy_efficiency,0.0,0.0,-91.0,0.0,0.0
fins,5,ventilation_area,0.0,0.0,0.0,0.0,-26.0
lip_scrub,1,exfoliant_particle_size,0.0,0.0,0.0,100.0,0.0
lip_scrub,2,moisturizing_duration,0.0,-18.0,0.0,0.0,0.0
lip_scrub,3,scrub_intensity,0.0,0.0,-29.0,0.0,0.0
lip_scrub,4,product_longevity,100.0,0.0,0.0,0.0,0.0
lip_scrub,5,absorption_time,0.0,0.0,0.0,0.0,-49.0
hoe,1,handle_length,44.0,0.0,0.0,0.0,0.0
hoe,2,blade_width,0.0,50.0,0.0,0.0,0.0
hoe,3,handle_grip_comfort,0.0,0.0,-25.0,0.0,0.0
hoe,4,tool_weight,0.0,0.0,0.0,0.0,-65.0
hoe,5,durability,0.0,0.0,0.0,-65.0,0.0
pilates_ring,1,ring_diameter,0.0,0.0,-90.0,0.0,0.0
pilates_ring,2,resistance_level,0.0,42.0,0.0,0.0,0.0
pilates_ring,3,padding_thickness,-90.0,0.0,0.0,0.0,0.0
pilates_ring,4,grip_quality,0.0,0.0,0.0,-32.0,0.0
pilates_ring,5,flexibility_rating,0.0,0.0,0.0,0.0,50.0
oven,1,capacity,0.0,0.0,54.0,0.0,0.0
oven,2,max_temperature,0.0,26.0,0.0,0.0,0.0
oven,3,preheat_time,54.0,0.0,0.0,0.0,0.0
oven,4,rack_positions,0.0,0.0,0.0,-3.0,0.0
oven,5,self_clean_duration,0.0,0.0,0.0,0.0,36.0
sparkling_water,1,carbonation_level,2.0,0.0,0.0,0.0,0.0
sparkling_water,2,mineral_content,0.0,0.0,0.0,56.0,0.0
sparkling_water,3,bottle_size,0.0,0.0,-44.0,0.0,0.0
sparkling_water,4,flavor_intensity,0.0,56.0,0.0,0.0,0.0
sparkling_water,5,bubble_size,0.0,0.0,0.0,0.0,-50.0
gas_can,1,capacity,28.0,0.0,0.0,0.0,0.0
gas_can,2,flow_rate,0.0,45.0,0.0,0.0,0.0
gas_can,3,durability_rating,0.0,0.0,0.0,0.0,-99.0
gas_can,4,spout_length,0.0,0.0,0.0,-50.0,0.0
gas_can,5,empty_weight,0.0,0.0,-99.0,0.0,0.0
golf_cart,1,max_speed,0.0,0.0,0.0,0.0,-69.0
golf_cart,2,battery_life,0.0,50.0,0.0,0.0,0.0
golf_cart,3,seat_comfort,0.0,0.0,38.0,0.0,0.0
golf_cart,4,storage_capacity,0.0,0.0,0.0,50.0,0.0
golf_cart,5,turning_radius,-69.0,0.0,0.0,0.0,0.0
tongs,1,grip_length,0.0,0.0,77.0,0.0,0.0
tongs,2,total_length,0.0,-50.0,0.0,0.0,0.0
tongs,3,grip_cushioning,77.0,0.0,0.0,0.0,0.0
tongs,4,spring_tension,0.0,0.0,0.0,24.0,0.0
tongs,5,heat_resistance,0.0,0.0,0.0,0.0,-36.0
sippy_cup,1,capacity,7.0,0.0,0.0,0.0,0.0
sippy_cup,2,spout_size,0.0,0.0,0.0,-66.0,0.0
sippy_cup,3,handle_length,0.0,0.0,50.0,0.0,0.0
sippy_cup,4,spill_resistance,0.0,-66.0,0.0,0.0,0.0
sippy_cup,5,grip_texture,0.0,0.0,0.0,0.0,-15.0
windshield_cover,1,water_resistance,-2.0,0.0,0.0,0.0,0.0
windshield_cover,2,insulation_rating,0.0,0.0,0.0,-87.0,0.0
windshield_cover,3,uv_protection,0.0,0.0,45.0,0.0,0.0
windshield_cover,4,fold_compactness,0.0,-87.0,0.0,0.0,0.0
windshield_cover,5,wind_resistance,0.0,0.0,0.0,0.0,-50.0
console,1,storage_capacity,-50.0,0.0,0.0,0.0,0.0
console,2,exclusive_games,0.0,-32.0,0.0,0.0,0.0
console,3,processing_power,0.0,0.0,44.0,0.0,0.0
console,4,online_players,0.0,0.0,0.0,0.0,-64.0
console,5,warranty_length,0.0,0.0,0.0,-64.0,0.0
stapler,1,staple_capacity,0.0,0.0,0.0,0.0,-70.0
stapler,2,max_sheet_capacity,0.0,-38.0,0.0,0.0,0.0
stapler,3,grip_comfort,0.0,0.0,-22.0,0.0,0.0
stapler,4,jam_resistance,0.0,0.0,0.0,46.0,0.0
stapler,5,durability,-70.0,0.0,0.0,0.0,0.0
jewelry_kit,1,tool_quantity,-1.0,0.0,0.0,0.0,0.0
jewelry_kit,2,findings_quantity,0.0,0.0,-53.0,0.0,0.0
jewelry_kit,3,storage_compartments,0.0,-53.0,0.0,0.0,0.0
jewelry_kit,4,plier_grip_length,0.0,0.0,0.0,-16.0,0.0
jewelry_kit,5,organization_rating,0.0,0.0,0.0,0.0,11.0
antenna,1,reception_range,0.0,0.0,0.0,0.0,69.0
antenna,2,number_of_channels_received,0.0,31.0,0.0,0.0,0.0
antenna,3,signal_strength,0.0,0.0,17.0,0.0,0.0
antenna,4,weather_resistance,0.0,0.0,0.0,-16.0,0.0
antenna,5,size_compactness,69.0,0.0,0.0,0.0,0.0
house,1,lot_size,28.0,0.0,0.0,0.0,0.0
house,2,square_footage,0.0,50.0,0.0,0.0,0.0
house,3,age_of_house,0.0,0.0,-18.0,0.0,0.0
house,4,distance_to_school,0.0,0.0,0.0,0.0,-57.0
house,5,energy_efficiency,0.0,0.0,0.0,-57.0,0.0
electric_grill,1,cooking_surface_area,0.0,0.0,0.0,0.0,-81.0
electric_grill,2,max_temperature,0.0,50.0,0.0,0.0,0.0
electric_grill,3,heat_up_time,0.0,0.0,8.0,0.0,0.0
electric_grill,4,power_rating,0.0,0.0,0.0,-35.0,0.0
electric_grill,5,cord_length,-81.0,0.0,0.0,0.0,0.0
tea,1,caffeine_content,0.0,-66.0,0.0,0.0,0.0
tea,2,steeping_time,-66.0,0.0,0.0,0.0,0.0
tea,3,antioxidant_level,0.0,0.0,-22.0,0.0,0.0
tea,4,aroma_intensity,0.0,0.0,0.0,2.0,0.0
tea,5,astringency,0.0,0.0,0.0,0.0,-50.0
lint_roller,1,sheet_count,14.0,0.0,0.0,0.0,0.0
lint_roller,2,roller_width,0.0,-26.0,0.0,0.0,0.0
lint_roller,3,adhesive_strength,0.0,0.0,45.0,0.0,0.0
lint_roller,4,handle_length,0.0,0.0,0.0,0.0,-78.0
lint_roller,5,grip_comfort,0.0,0.0,0.0,-78.0,0.0
diaper_bag,1,storage_volume,40.0,0.0,0.0,0.0,0.0
diaper_bag,2,number_of_pockets,0.0,0.0,0.0,0.0,-70.0
diaper_bag,3,strap_length,0.0,0.0,40.0,0.0,0.0
diaper_bag,4,bag_weight,0.0,0.0,0.0,50.0,0.0
diaper_bag,5,water_resistance,0.0,-70.0,0.0,0.0,0.0
sponges,1,durability,-10.0,0.0,0.0,0.0,0.0
sponges,2,scrubbing_power,0.0,22.0,0.0,0.0,0.0
sponges,3,absorption_capacity,0.0,0.0,0.0,0.0,57.0
sponges,4,bacteria_resistance,0.0,0.0,0.0,-50.0,0.0
sponges,5,drying_speed,0.0,0.0,57.0,0.0,0.0
popcorn,1,serving_size,18.0,0.0,0.0,0.0,0.0
popcorn,2,fiber_content,0.0,-24.0,0.0,0.0,0.0
popcorn,3,butter_content,0.0,0.0,0.0,0.0,87.0
popcorn,4,sodium_content,0.0,0.0,0.0,6.0,0.0
popcorn,5,calories_per_serving,0.0,0.0,87.0,0.0,0.0
recliner,1,recline_angle,-50.0,0.0,0.0,0.0,0.0
recliner,2,seat_width,0.0,0.0,-84.0,0.0,0.0
recliner,3,cushion_thickness,0.0,-84.0,0.0,0.0,0.0
recliner,4,lumbar_support,0.0,0.0,0.0,35.0,0.0
recliner,5,footrest_length,0.0,0.0,0.0,0.0,-30.0
arrows,1,straightness,0.0,0.0,0.0,81.0,0.0
arrows,2,spine_stiffness,0.0,-28.0,0.0,0.0,0.0
arrows,3,weight_grains,0.0,0.0,38.0,0.0,0.0
arrows,4,durability_rating,81.0,0.0,0.0,0.0,0.0
arrows,5,fletching_length,0.0,0.0,0.0,0.0,-8.0
pattern_weights,1,weight_per_piece,0.0,0.0,-57.0,0.0,0.0
pattern_weights,2,stability,0.0,-50.0,0.0,0.0,0.0
pattern_weights,3,fabric_protection,-57.0,0.0,0.0,0.0,0.0
pattern_weights,4,pieces_per_set,0.0,0.0,0.0,50.0,0.0
pattern_weights,5,ease_of_placement,0.0,0.0,0.0,0.0,-39.0
wheelbarrow,1,load_capacity,0.0,0.0,0.0,-82.0,0.0
wheelbarrow,2,tray_volume,0.0,-50.0,0.0,0.0,0.0
wheelbarrow,3,tire_diameter,0.0,0.0,-21.0,0.0,0.0
wheelbarrow,4,handle_grip_comfort,-82.0,0.0,0.0,0.0,0.0
wheelbarrow,5,stability_rating,0.0,0.0,0.0,0.0,23.0
soil,1,nutrient_content,-20.0,0.0,0.0,0.0,0.0
soil,2,moisture_retention,0.0,0.0,0.0,-57.0,0.0
soil,3,organic_matter,0.0,0.0,-10.0,0.0,0.0
soil,4,drainage_rating,0.0,-57.0,0.0,0.0,0.0
soil,5,ph_level,0.0,0.0,0.0,0.0,42.0
sleeping_bag,1,temperature_rating,-10.0,0.0,0.0,0.0,0.0
sleeping_bag,2,packed_volume,0.0,-9.0,0.0,0.0,0.0
sleeping_bag,3,insulation_loft,0.0,0.0,-34.0,0.0,0.0
sleeping_bag,4,interior_length,0.0,0.0,0.0,0.0,57.0
sleeping_bag,5,shoulder_girth,0.0,0.0,0.0,57.0,0.0
paper_towel,1,sheet_size,15.0,0.0,0.0,0.0,0.0
paper_towel,2,sheets_per_roll,0.0,-12.0,0.0,0.0,0.0
paper_towel,3,absorption_capacity,0.0,0.0,-30.0,0.0,0.0
paper_towel,4,wet_strength,0.0,0.0,0.0,0.0,-79.0
paper_towel,5,thickness,0.0,0.0,0.0,-79.0,0.0
outdoor_tv_cover,1,water_resistance,0.0,0.0,0.0,89.0,0.0
outdoor_tv_cover,2,uv_protection,0.0,2.0,0.0,0.0,0.0
outdoor_tv_cover,3,material_thickness,0.0,0.0,45.0,0.0,0.0
outdoor_tv_cover,4,ventilation_holes,89.0,0.0,0.0,0.0,0.0
outdoor_tv_cover,5,ease_of_installation,0.0,0.0,0.0,0.0,50.0
tamper,1,base_diameter,28.0,0.0,0.0,0.0,0.0
tamper,2,handle_length,0.0,0.0,0.0,0.0,89.0
tamper,3,total_weight,0.0,0.0,4.0,0.0,0.0
tamper,4,surface_smoothness,0.0,0.0,0.0,30.0,0.0
tamper,5,grip_comfort,0.0,89.0,0.0,0.0,0.0
garment_steamer,1,water_capacity,0.0,0.0,0.0,0.0,90.0
garment_steamer,2,heat_up_time,0.0,30.0,0.0,0.0,0.0
garment_steamer,3,steam_time,0.0,0.0,50.0,0.0,0.0
garment_steamer,4,cord_length,0.0,0.0,0.0,32.0,0.0
garment_steamer,5,steam_output,90.0,0.0,0.0,0.0,0.0
alcohol_markers,1,color_count,-50.0,0.0,0.0,0.0,0.0
alcohol_markers,2,ink_capacity,0.0,0.0,-99.0,0.0,0.0
alcohol_markers,3,tip_firmness,0.0,-99.0,0.0,0.0,0.0
alcohol_markers,4,bleed_resistance,0.0,0.0,0.0,29.0,0.0
alcohol_markers,5,stroke_smoothness,0.0,0.0,0.0,0.0,-10.0
rabbit,1,life_expectancy,-44.0,0.0,0.0,0.0,0.0
rabbit,2,adult_weight,0.0,0.0,0.0,0.0,59.0
rabbit,3,grooming_needs,0.0,0.0,-50.0,0.0,0.0
rabbit,4,sociability,0.0,0.0,0.0,42.0,0.0
rabbit,5,activity_level,0.0,59.0,0.0,0.0,0.0
bracelet,1,band_width,0.0,0.0,54.0,0.0,0.0
bracelet,2,weight,0.0,-36.0,0.0,0.0,0.0
bracelet,3,flexibility,54.0,0.0,0.0,0.0,0.0
bracelet,4,surface_shine,0.0,0.0,0.0,2.0,0.0
bracelet,5,clasp_strength,0.0,0.0,0.0,0.0,-34.0
adapter,1,power_output,0.0,0.0,90.0,0.0,0.0
adapter,2,number_of_ports,0.0,16.0,0.0,0.0,0.0
adapter,3,cord_length,90.0,0.0,0.0,0.0,0.0
adapter,4,weight,0.0,0.0,0.0,0.0,0.0
adapter,5,charging_speed,0.0,0.0,0.0,0.0,46.0
night_light,1,brightness,24.0,0.0,0.0,0.0,0.0
night_light,2,coverage_angle,0.0,0.0,-54.0,0.0,0.0
night_light,3,sensor_distance,0.0,-54.0,0.0,0.0,0.0
night_light,4,auto_shutoff_delay,0.0,0.0,0.0,-38.0,0.0
night_light,5,projected_area,0.0,0.0,0.0,0.0,50.0
travel_wallet,1,passport_slots,0.0,-69.0,0.0,0.0,0.0
travel_wallet,2,card_capacity,-69.0,0.0,0.0,0.0,0.0
travel_wallet,3,document_compartments,0.0,0.0,20.0,0.0,0.0
travel_wallet,4,water_resistance,0.0,0.0,0.0,-4.0,0.0
travel_wallet,5,thickness_when_empty,0.0,0.0,0.0,0.0,7.0
central_vacuum,1,suction_power,0.0,0.0,0.0,0.0,85.0
central_vacuum,2,noise_level,0.0,34.0,0.0,0.0,0.0
central_vacuum,3,dirt_capacity,0.0,0.0,50.0,0.0,0.0
central_vacuum,4,hose_reach,0.0,0.0,0.0,-36.0,0.0
central_vacuum,5,filtration_efficiency,85.0,0.0,0.0,0.0,0.0
